id,classes,se,code,name,pinyin,price,change,net,volume,value,mark,operation,hold,cost,profit,roi,roe,pe,rate,pb,dividend,dividend_yield,delta,total_share,time_to_market,created,modified
2641,A,sz,002695,煌上煌,hsh,31.47,1.13,3.724,0,0,0,0,0,0,0,2.1,12.05,1.5,1.16,7.04,1.0,0.32,0,513378396.0,2012-09-28,2020-08-29 19:11,2020-08-29 19:11
3262,A,sz,300357,我武生物,wwsw,61.78,0.63,1.03,0,0,0,0,0,0,0,2.1,24.3,0.83,1.04,25.2,1.8,0.29,0,523584000.0,2014-01-30,2020-08-29 19:11,2020-08-29 19:11
2531,A,sz,002573,清新环境,qxhj,6.03,-0.07,-1.148,0,0,0,0,0,0,0,2.09,6.3,4.6,0.72,1.34,1.5,2.49,0,1081272100.0,2011-04-29,2020-08-29 19:11,2020-08-29 19:11
1862,A,sz,000750,国海证券,ghzq,5.55,0.11,2.022,0,0,0,0,0,0,0,2.08,4.28,2.54,1.91,1.65,0.35,0.63,0,5444525514.0,1997-07-31,2020-08-29 19:11,2020-08-29 19:11
3140,A,sz,300235,方直科技,fzkj,18.62,0.23,1.251,0,0,0,0,0,0,0,2.08,6.64,1.28,2.45,4.92,0.5,0.27,0,167831090.0,2011-06-30,2020-08-29 19:11,2020-08-29 19:11
563,A,sh,600765,中航重机,zhzj,13.31,0.01,0.075,0,0,0,0,0,0,0,2.07,6.46,2.84,1.13,2.05,0.45,0.34,0,939680840.0,1996-11-29,2020-08-29 19:11,2020-08-29 19:11
1631,A,sz,000032,深桑达Ａ,ssda,24.15,0.35,1.471,0,0,0,0,0,0,0,2.07,10.21,1.42,1.43,6.77,0.8,0.33,0,413219661.0,1993-10-29,2020-08-29 19:11,2020-08-29 19:11
1658,A,sz,000078,海王生物,hwsw,4.47,0.09,2.055,0,0,0,0,0,0,0,2.07,7.39,3.74,0.75,1.93,0.0,0.0,0,2762583257.0,1998-12-31,2020-08-29 19:11,2020-08-29 19:11
2007,A,sz,000988,华工科技,hgkj,23.83,0.37,1.577,0,0,0,0,0,0,0,2.07,8.41,2.09,1.18,3.73,0.6,0.25,0,1005502706.0,2000-06-30,2020-08-29 19:11,2020-08-29 19:11
3253,A,sz,300348,长亮科技,clkj,21.27,0.17,0.806,0,0,0,0,0,0,0,2.07,7.9,1.02,2.57,13.44,0.12,0.06,0,722715402.0,2012-08-31,2020-08-29 19:11,2020-08-29 19:11
3145,A,sz,300240,飞力达,fld,6.67,-0.28,-4.029,0,0,0,0,0,0,0,2.06,3.77,1.7,3.21,2.07,0.2,0.3,0,365559750.0,2011-07-29,2020-08-29 19:11,2020-08-29 19:11
3091,A,sz,300185,通裕重工,tyzg,3.63,0.42,13.084,0,0,0,0,0,0,0,2.05,6.06,2.66,1.27,2.21,0.4,1.1,0,3267743927.0,2011-03-31,2020-08-29 19:11,2020-08-29 19:11
48,A,sh,600066,宇通客车,ytkc,14.5,-0.04,-0.275,0,0,0,0,0,0,0,2.04,8.75,4.16,0.56,2.23,10.0,6.9,0,2213939223.0,1997-05-30,2020-08-29 19:11,2020-08-29 19:11
